player_num,position,player_name,player_name,club,age,height,weight,birthplace,status,height in cm,weight in grams
163,9,F,Alan Gordon,LA Galaxy,33,6' 3'',190,USA,Active,190.5,86182.5503
164,NA,M,Ned Grabavoy,New York City FC,31,5' 7'',160,USA,Active,170.18,72574.7792
165,NA,G,Andy Gruenebaum,San Jose Earthquakes,32,6' 1'',175,USA,Active,185.42,79378.66475
166,17,D,Nick Hagglund,Toronto FC,22,6' 1'',193,USA,Active,185.42,87543.32741
167,94,M,Marlon Hairston,Colorado Rapids,2015,6',157,USA,Active,182.88,71214.00209
168,NA,M,Jeremy Hall,New England Revolution,26,5' 10'',177,USA,Active,177.8,80285.84949
169,NA,GK,Tally Hall,Orlando City SC,29,6' 4'',215,USA,Active,193.04,97522.35955
170,NA,M/D,Markus Halsti,D.C. United,30,6' 1'',185,Finland,Active,185.42,83914.58845
171,28,GK,Bill Hamid,D.C. United,24,6' 3'',225,USA,Active,190.5,102058.2833
172,22,F,Jordan Hamilton,Toronto FC,18,6',194,Canada,Active,182.88,87996.91978
173,2,D,Ty Harden,San Jose Earthquakes,30,6' 1'',190,USA,Active,185.42,86182.5503
174,NA,D,Michael Harrington,Colorado Rapids,28,6',170,USA,Active,182.88,77110.7029
175,NA,M/F,Atiba Harris,FC Dallas,30,6' 3'',185,Saint Kitts and Nevis,Active,190.5,83914.58845
176,2,D,Jordan Harvey,Vancouver Whitecaps FC,30,5' 11'',170,USA,Active,180.34,77110.7029
177,12,M,Harrison Heath,Orlando City SC,18,5' 11'',160,England,Active,180.34,72574.7792
178,24,D,Matt Hedges,FC Dallas,24,6' 4'',185,USA,Active,193.04,83914.58845
179,NA,D,Jason Hernandez,New York City FC,31,5' 10'',170,USA,Active,177.8,77110.7029
180,3,D,Moises Hernandez,FC Dallas,22,6',155,USA,Active,182.88,70306.81735
181,10,F,Federico Higuain,Columbus Crew SC,30,5' 8'',165,Argentina,Active,172.72,74842.74105
182,NA,F,Chandler Hoffman,Houston Dynamo,24,6',160,USA,Active,182.88,72574.7792
183,12,M,Ryan Hollingshead,FC Dallas,23,6' 1'',180,USA,Active,185.42,81646.6266
